STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
CT,Bloomfield,0.838,0.152,10237,1854
CT,Bolton,0.52,0.46,1649,1459
CT,Bozrah,0.429,0.555,685,885
CT,Branford,0.568,0.416,9898,7251
CT,Bridgeport,0.727,0.261,26992,9707
CT,Bridgewater,0.517,0.466,607,548
CT,Bristol,0.491,0.495,14125,14218
CT,Brookfield,0.472,0.512,5029,5458
CT,Brooklyn,0.429,0.556,1872,2426
CT,Burlington,0.48,0.504,2782,2919
CT,Canaan,0.687,0.302,451,198
CT,Canterbury,0.367,0.614,1137,1904
CT,Canton,0.577,0.404,3848,2692
CT,Chaplin,0.428,0.556,535,695
CT,Cheshire,0.545,0.435,9390,7498
CT,Chester,0.646,0.336,1666,866
CT,Clinton,0.54,0.444,4318,3550
CT,Colchester,0.526,0.456,5002,4332
CT,Colebrook,0.418,0.568,403,548
CT,Columbia,0.507,0.476,1787,1678
CT,Cornwall,0.708,0.271,732,280
CT,Coventry,0.5,0.483,3808,3681
CT,Cromwell,0.536,0.441,4635,3816
CT,Danbury,0.531,0.455,16318,13971
CT,Darien,0.586,0.397,6988,4732
CT,Deep River,0.603,0.381,1735,1097
CT,Derby,0.48,0.508,2581,2732
CT,Durham,0.471,0.506,2217,2382
CT,East Granby,0.523,0.456,1678,1462
CT,East Haddam,0.502,0.481,2902,2781
CT,East Hampton,0.495,0.488,4061,4006
CT,East Hartford,0.684,0.304,12504,5550
CT,East Haven,0.437,0.553,6116,7728
CT,East Lyme,0.617,0.367,7272,4326
CT,East Windsor,0.508,0.48,2977,2815
CT,Eastford,0.417,0.561,445,599
CT,Easton,0.539,0.439,2627,2141
CT,Ellington,0.496,0.489,4733,4666
CT,Enfield,0.507,0.478,10317,9718
CT,Essex,0.639,0.343,2892,1554
CT,Fairfield,0.617,0.364,21494,12696
CT,Farmington,0.587,0.392,9058,6055
CT,Franklin,0.446,0.543,545,663
CT,Glastonbury,0.613,0.368,13185,7902
CT,Goshen,0.433,0.55,910,1154
CT,Granby,0.558,0.424,4108,3118
CT,Greenwich,0.573,0.413,19603,14122
CT,Griswold,0.399,0.587,2443,3591
CT,Groton,0.608,0.372,10284,6296
CT,Guilford,0.644,0.341,9334,4943
CT,Haddam,0.47,0.514,2640,2892
CT,Hamden,0.729,0.255,20222,7066
CT,Hampton,0.484,0.505,541,564
CT,Hartford,0.818,0.17,23418,4884
CT,Hartland,0.329,0.655,430,855
CT,Harwinton,0.376,0.612,1421,2315
CT,Hebron,0.529,0.455,3253,2795
CT,Kent,0.665,0.315,1252,592
CT,Killingly,0.394,0.591,3282,4915
CT,Killingworth,0.515,0.468,2270,2061
CT,Lebanon,0.45,0.534,2009,2381
CT,Ledyard,0.534,0.445,4443,3702
CT,Lisbon,0.433,0.546,1031,1301
CT,Litchfield,0.503,0.482,2660,2545
CT,Lyme,0.653,0.325,1080,537
CT,Madison,0.614,0.371,7373,4454
CT,Manchester,0.649,0.33,17318,8791
CT,Mansfield,0.733,0.246,6690,2250
CT,Marlborough,0.529,0.455,2115,1819
CT,Meriden,0.56,0.426,13326,10131
CT,Middlebury,0.432,0.552,2209,2820
CT,Middlefield,0.498,0.484,1396,1358
CT,Middletown,0.635,0.346,13986,7611
CT,Milford,0.473,0.467,14575,14405
CT,Monroe,0.465,0.519,5346,5961
CT,Montville,0.487,0.497,4316,4397
CT,Morris,0.405,0.575,604,858
CT,Naugatuck,0.443,0.542,6252,7647
CT,New Britain,0.608,0.373,13483,8282
CT,New Canaan,0.558,0.421,6644,5023
CT,New Fairfield,0.443,0.544,3653,4485
CT,New Hartford,0.46,0.523,2046,2325
CT,New Haven,0.804,0.174,30662,6626
CT,New London,0.706,0.274,6248,2420
CT,New Milford,0.471,0.515,7311,7995
CT,Newington,0.55,0.432,9253,7258
CT,Newtown,0.539,0.441,9316,7624
CT,Norfolk,0.626,0.354,634,358
CT,North Branford,0.407,0.58,3452,4921
CT,North Canaan,0.475,0.516,667,725
CT,North Haven,0.455,0.532,6819,7977
CT,North Stonington,0.475,0.505,1560,1661
CT,Norwalk,0.636,0.35,26526,14586
CT,Norwich,0.577,0.406,8617,6051
CT,Old Lyme,0.583,0.399,3107,2127
CT,Old Saybrook,0.581,0.409,4150,2921
CT,Orange,0.494,0.487,4393,4336
CT,Oxford,0.387,0.601,3327,5160
CT,Plainfield,0.38,0.607,2716,4343
CT,Plainville,0.467,0.519,4437,4930
CT,Plymouth,0.364,0.619,2354,4001
CT,Pomfret,0.535,0.452,1327,1120
CT,Portland,0.523,0.46,3127,2753
CT,Preston,0.424,0.557,1194,1569
CT,Prospect,0.342,0.647,2069,3915
CT,Putnam,0.449,0.536,1975,2359
CT,Redding,0.637,0.343,3619,1948
CT,Ridgefield,0.627,0.357,9704,5520
CT,Rocky Hill,0.526,0.458,5471,4767
CT,Roxbury,0.562,0.422,857,643
CT,Salem,0.475,0.506,1263,1345
CT,Salisbury,0.772,0.208,1959,528
CT,Scotland,0.4,0.584,382,558
CT,Seymour,0.403,0.581,3680,5296
CT,Sharon,0.678,0.31,1068,488
CT,Shelton,0.436,0.55,10282,12985
CT,Sherman,0.537,0.447,1212,1008
CT,Simsbury,0.638,0.342,10271,5498
CT,Somers,0.405,0.581,2349,3376
CT,South Windsor,0.584,0.39,8554,5715
CT,Southbury,0.496,0.488,6315,6207
CT,Southington,0.465,0.52,12319,13755
CT,Sprague,0.411,0.564,630,863
CT,Stafford,0.416,0.569,2698,3685
CT,Stamford,0.625,0.358,35570,20370
CT,Sterling,0.291,0.694,588,1403
